features__attributes__OBJECTID,features__attributes__Title,features__attributes__Type,features__attributes__IMDbLink,features__attributes__Address,features__attributes__Site,features__attributes__ShootDate,features__attributes__OriginalDetails,features__geometry__x,features__geometry__y,,,,,,,,,,,,,,,,,exceededTransferLimit
4555,Albuquerque Convention and Visitors Bureau,Commercial,na,2000 Mountain Road NW,Albuquerque Museum ,1212364800000,Albuquerque Museum ,-106.668606238518,35.098424458889,,,,,,,,,,,,,,,,,
4556,Albuquerque Convention and Visitors Bureau,Commercial,na,423 Central Avenue NW ,KiMo Theatre,1212364800000,KiMo Theatre,-106.652667601112,35.0847166298504,,,,,,,,,,,,,,,,,
4557,Albuquerque Convention and Visitors Bureau,Commercial,na,100 1st Street SW,Alvarado Transportation Center Railrunner Station,1212451200000,Railrunner Station,-106.648123788555,35.0835678033863,,,,,,,,,,,,,,,,,
4558,Albuquerque Convention and Visitors Bureau,Commercial,na,202 Romero Street NW,Old Town area,1212451200000,Old Town,-106.670472635844,35.0959319473343,,,,,,,,,,,,,,,,,
4559,Albuquerque Convention and Visitors Bureau,Commercial,na,800 Rio Grande Boulevard NW,Hotel Albuquerque at Old Town,1212537600000,Hotel Albuquerque,-106.670630120395,35.1008505467747,,,,,,,,,,,,,,,,,
4560,Albuquerque Convention and Visitors Bureau,Commercial,na,1701 4th Street SW,National Hispanic Cultural Center,1212624000000,National Hispanic Cultural Center,-106.65448169942,35.0691695119698,,,,,,,,,,,,,,,,,
4561,Albuquerque Convention and Visitors Bureau,Commercial,na,1701 4th Street SW,National Hispanic Cultural Center,1212710400000,National Hispanic Cultural Center,-106.65448169942,35.0691695119698,,,,,,,,,,,,,,,,,
4562,Albuquerque Convention and Visitors Bureau,Commercial,na,1801 Mountain Road NW,New Mexico Museum of Natural History,1212710400000,Museum of Natural History,-106.666083227516,35.0976249848198,,,,,,,,,,,,,,,,,
4563,Albuquerque Convention and Visitors Bureau,Commercial,na,330 Tijeras Avenue NW,Hyatt Regency Albuquerque,1212710400000,Hyatt Downtown,-106.651030818562,35.086592718513,,,,,,,,,,,,,,,,,
4564,Albuquerque Convention and Visitors Bureau,Commercial,na,500 Central Avenue SW,Central Avenue SW between 5th and 6th Streets SW,1212796800000,Central ave. between 5th & 6th close central between 2nd & 6th,-106.652835110861,35.0847105109264,,,,,,,,,,,,,,,,,
4565,Albuquerque Convention and Visitors Bureau,Commercial,na,2000 Mountain Road NW,Albuquerque Museum,1212883200000,Albuquerque Museum ,-106.668606238518,35.098424458889,,,,,,,,,,,,,,,,,
4566,Albuquerque Convention and Visitors Bureau,Commercial,na,2200 Sunport Boulevard SE,Albuquerque International Sunport,1212883200000,Sunport,-106.618641735802,35.0497104166867,,,,,,,,,,,,,,,,,
4567,Albuquerque Convention and Visitors Bureau,Commercial,na,401 2nd Street NW,Albuquerque Convention Center,1212883200000,Convention Center,-106.648576342728,35.0878302307802,,,,,,,,,,,,,,,,,
4568,Albuquerque Economic Development,Commerical by Production Outfitters,na,1100 Central Avenue SE,ABQ Uptown Growers Market,1347321600000,Uptown Farmer's Market,-106.634235047339,35.0823116022926,,,,,,,,,,,,,,,,,
